cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
744396EE8,2048-07-01,2170000.0,7.0,100.0,7.0,446.0,,0x0010354AB82B02FE,99.1424671749,7.0756849329,257.6,,MATY,3797500.0
744396BG6,2034-07-01,2430000.0,6.8,100.0,6.8,409.0,,0x001021005BE76EE3,,,,,,3766499.9999999995
744396HW5,2029-07-15,1000000.0,9.0,100.0,9.0,587.0,587.0,0x0010357E36FC0697,100.1214097442,6.5621974195,409.2,409.2,PARC,3750000.0
13069AAW8,2027-06-01,3000000.0,6.5,100.0,6.5,258.59999999999997,379.0,0x0010357CF86C08C5,90.4961179642,12.2460747307,978.6,978.6,MATY,3750000.0
83704MDU7,2032-06-15,1150000.0,8.5,100.0,8.5,405.67,547.0,0x0010357B5B590955,,,,,,3737500.0
13057HAC1,2047-06-15,3725000.0,6.25,98.326,6.375,336.5,,0x0010353E19ED00EF,87.8519647785,7.3755753375,291.6,,MATY,3725000.0
34061UBX5,2020-06-15,4230000.0,6.125,100.0,6.125,490.09999999999997,511.0,0x00102100D7DC6258,,,,,,3701250.0
74443DKH3,2030-06-15,775000.0,10.0,100.0,10.0,555.3399999999999,706.0,0x001035035461091A,,,,,,3681250.0
74442EKU3,2033-01-15,640000.0,11.0,100.0,11.0,750.4,862.0,0x0010353C75F4079F,,,,,,3680000.0
13058TVB3,2032-06-01,640000.0,11.0,100.0,11.0,659.0,826.0,0x00106A68639B02E8,100.7897188512,10.8284866862,797.8,798.8,MATY,3680000.0
56681MAG4,2029-02-01,3595000.0,6.25,100.0,6.25,417.0,417.0,0x001035DBF516021F,,,,,,3595000.0
83704MDH6,2058-06-15,1185000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,3555000.0
83704MDN3,2058-06-15,1185000.0,8.25,93.0,8.903,464.30000000000007,,0x001035E0B40D0975,,,,,,3555000.0
130591BK5,2032-07-01,1420000.0,7.75,100.0,7.75,419.5,549.0,0x001035A4BF030835,101.238439188,7.4874036913,463.7,463.7,PARC,3550000.0
61075TXX1,2030-07-01,2365000.0,6.75,100.0,6.75,312.0,433.0,0x00106A85D4380112,98.1661336516,7.1951870086,464.5,464.5,MATY,3547500.0
14043RAD2,2042-06-15,940000.0,9.0,100.0,9.0,445.0,,0x00106A9C5C9C0325,,,,,,3525000.0
74172VAK4,2038-08-01,3895000.0,6.15,100.0,6.15,298.0,,0x001035D71DB3005C,,,,,,3505500.0000000014
744396JE3,2043-07-01,3075000.0,6.375,99.155,6.45,277.0,,0x001035BF45D60801,97.6352505149,6.6013561629,236.1,,MATY,3459375.0
744396HQ8,2047-06-01,2765000.0,6.5,98.776,6.6,340.0,,0x00103582C9A106C9,93.5181449435,7.171287673,258.1,,MATY,3456250.0
13059THQ5,2037-07-01,3410000.0,6.25,100.0,6.25,357.0,,0x001035780A250173,106.6187158274,2.7541917834,-80.6,-80.6,MATY,3410000.0
13058TRP7,2032-06-01,1505000.0,7.5,100.0,7.5,347.6,409.0,0x001035B6B21B073D,103.5961370853,6.4334315288,358.3,359.3,PARC,3386250.0
83704MCN4,2033-03-15,585000.0,11.0,100.0,11.0,745.5,864.0,0x0010350F871808BD,,,,,,3363750.0
018433AK8,2029-07-01,1115000.0,8.25,98.137,8.5,577.0,609.0,0x001035CDD82E011F,,,,,,3345000.0
72177MQQ3,2045-07-01,2225000.0,6.75,100.0,6.75,391.0,,0x00102100656A7F41,,,,,,3337500.0
744396JA1,2053-07-15,3335000.0,6.25,98.925,6.33,264.0,,0x001035CAF0C708D0,103.2363191639,5.7396438321,114.0,,PARC,3335000.0
19645RK34,2046-06-01,2655000.0,6.5,100.0,6.5,364.0,,0x001035A02F230089,97.5594612129,6.7182191801,229.8,,MATY,3318750.0
74442EKH2,2062-06-15,2200000.0,6.75,91.0,7.462,372.19999999999993,,0x001035141A06072A,,,,,,3300000.0
072325AC7,2046-01-15,1735000.0,7.125,100.0,7.125,444.5,,0x00102100EE614CF2,,,,,,3253125.0
74442EKC3,2056-06-15,2150000.0,6.75,91.0,7.486,374.6,,0x0010353FEF0007F2,,,,,,3225000.0
74442EKE9,2059-06-15,2150000.0,6.75,91.0,7.472,373.20000000000005,,0x001035111A06072F,,,,,,3225000.0
13067RDA8,2032-11-15,670000.0,10.0,100.0,10.0,618.4000000000001,769.0,0x00103552EAB20728,,,,,,3182500.0
